""	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000290728.1	0.363250006745738	-1.27009503768721	1.09600576764895	0.278950727815531	0.999993131445251	-4.58668525408294
ENSG00000024526.17	-0.276581679289921	-2.46857953476628	-1.09591391947844	0.278990487355522	0.999993131445251	-4.58829226585408
ENSG00000075188.9	0.176599276828706	-0.470483889545642	1.09561612579822	0.279119424673598	0.999993131445251	-4.58658517108652
ENSG00000167904.16	-0.140157812322	1.53964132415242	-1.09558578548644	0.279132563631597	0.999993131445251	-4.59922494650458
ENSG00000149506.12	-0.358572399887156	-2.73278644394998	-1.09548831089923	0.27917477822048	0.999993131445251	-4.58865172089889
ENSG00000224533.4	-0.341079533102755	-2.30449271217886	-1.09547206933761	0.279181812601316	0.999993131445251	-4.58811842107457
ENSG00000234040.3	-0.349742693171609	-2.76183176346731	-1.09541363524564	0.27920712201467	0.999993131445251	-4.58869142099022
ENSG00000137561.5	-0.28038500819206	0.00154830934596372	-1.09531029554769	0.27925188523052	0.999993131445251	-4.58752013015637
ENSG00000227383.1	-0.372298320790463	-2.26963728828651	-1.09507801036223	0.279352521627729	0.999993131445251	-4.5881117780166
ENSG00000183520.12	-0.155730592685458	1.39016391361575	-1.0949902202484	0.279390562893896	0.999993131445251	-4.59768037104583
ENSG00000259575.1	-0.320672157317504	0.40933039482587	-1.09480930663635	0.279468967975013	0.999993131445251	-4.58933782657157
ENSG00000066405.13	-0.301886398529922	-1.24507722035966	-1.09479656023866	0.279474492644101	0.999993131445251	-4.5868414698953
ENSG00000228368.1	-0.399622029620929	-2.46597327302682	-1.09438258473163	0.279653963713512	0.999993131445251	-4.58843938211272
ENSG00000123728.10	-0.121579330596752	2.40539692742227	-1.09434433492859	0.279670550261888	0.999993131445251	-4.61034539630202
ENSG00000224031.1	0.414410628908259	-3.07295886636046	1.09421969215561	0.279724604837277	0.999993131445251	-4.58912853676814
ENSG00000263126.1	0.444167208295034	-3.21940203058874	1.09413646446521	0.279760702774068	0.999993131445251	-4.58928030829249
ENSG00000158578.21	-0.512221800650111	-1.08278269113952	-1.09402095046911	0.279810809515548	0.999993131445251	-4.5868397677975
ENSG00000144043.13	0.123754022233	2.90960477997033	1.09373844689524	0.279933378233785	0.999993131445251	-4.6155114386162
ENSG00000253218.1	0.346487111964403	-2.64438687064043	1.09366005101459	0.27996739823246	0.999993131445251	-4.58871970304406
ENSG00000214223.4	0.417216129636058	-3.5085085898579	1.09362581692326	0.279982255073887	0.999993131445251	-4.58958444765327
ENSG00000130699.20	-0.123087806491399	2.31268846809158	-1.09359530046354	0.279995499012007	0.999993131445251	-4.60958543862502
ENSG00000228037.1	-0.415000159386515	-3.1544832144477	-1.09356777759176	0.280007444130572	0.999993131445251	-4.58926406692599
ENSG00000138744.16	-0.143354027342803	1.21182553131556	-1.09351949934125	0.280028398093205	0.999993131445251	-4.59621415010884
ENSG00000171443.7	-0.172070850898009	0.0921036214407384	-1.09345354788628	0.280057024446753	0.999993131445251	-4.58825809185158
ENSG00000272106.1	0.144491682076482	1.3832809936255	1.09326229604148	0.280140049295118	0.999993131445251	-4.59821251529119
ENSG00000110031.13	-0.122145726774195	1.93188749263662	-1.09311801960426	0.28020269296367	0.999993131445251	-4.605079334247
ENSG00000280987.4	-0.350519501006681	-2.71986559462835	-1.09305940413376	0.280228146139947	0.999993131445251	-4.58885953169336
ENSG00000144713.13	-0.107131896307298	3.96537419243706	-1.09305221270841	0.280231269055636	0.999993131445251	-4.61942527005419
ENSG00000266541.1	0.301767304029173	-2.22421627806042	1.09297863188255	0.280263223335251	0.999993131445251	-4.58827139715402
ENSG00000146376.11	-0.125773742782846	0.585694953013261	-1.09293389323232	0.280282653443179	0.999993131445251	-4.59092293602111
ENSG00000169508.7	-0.240113956666605	-0.0574830262303237	-1.09292740642584	0.280285470758026	0.999993131445251	-4.58789852273152
ENSG00000145191.15	0.0904137588881277	2.71052355091094	1.09283797401964	0.280324314586207	0.999993131445251	-4.61418427366734
ENSG00000082497.12	-0.323806744986778	1.13970732361026	-1.09280975586002	0.280336571569548	0.999993131445251	-4.5956920953459
ENSG00000259963.1	-0.353562025385956	-1.08006388691328	-1.09275058732657	0.280362273536688	0.999993131445251	-4.58703905970758
ENSG00000101084.19	-0.350992797722609	-2.31054681080119	-1.09273606329476	0.28036858282194	0.999993131445251	-4.58840810552203
ENSG00000227456.9	-0.303992584142002	-1.41668629168721	-1.09247777223156	0.280480801929152	0.999993131445251	-4.58733640656838
ENSG00000225125.2	-0.284785886032682	-1.57087296933472	-1.09244569349548	0.280494741303269	0.999993131445251	-4.58750227656784
ENSG00000267493.4	0.224010993282023	-0.81663755564276	1.09237749205703	0.280524378918013	0.999993131445251	-4.58703669861553
ENSG00000259969.1	-0.153005226501208	0.605847728043203	-1.092195697639	0.280603390236191	0.999993131445251	-4.5912691939966
ENSG00000212747.5	-0.172097971531571	0.499850388307	-1.09212438416132	0.280634388698912	0.999993131445251	-4.59059348093282
ENSG00000127022.16	-0.152789161477833	6.42322239621861	-1.09211656648456	0.280637787024125	0.999993131445251	-4.61121147533173
ENSG00000235821.1	-0.442093613467466	-3.43566656889842	-1.09208472411576	0.280651629123487	0.999993131445251	-4.5896408241553
ENSG00000258057.6	0.107320623359565	0.945816297860451	1.09175471286688	0.280795115538001	0.999993131445251	-4.59413995587869
ENSG00000232166.1	0.277838790760605	-2.20955852136761	1.09170681621623	0.280815944921012	0.999993131445251	-4.58838704565002
ENSG00000163322.14	-0.133157508439931	1.73183385094241	-1.09151387404359	0.280899862950742	0.999993131445251	-4.60314303836876
ENSG00000243402.1	-0.285977945128175	-1.71075126422402	-1.09150246037067	0.280904827750908	0.999993131445251	-4.58778428352696
ENSG00000144749.14	-0.188314188347014	5.18553975054678	-1.09117965597613	0.281045268995051	0.999993131445251	-4.61734500457108
ENSG00000235447.2	-0.363955702870147	-3.1504257686964	-1.09104079835017	0.281105696394452	0.999993131445251	-4.58946823565077
ENSG00000285770.1	-0.22201535118201	-0.96869832609665	-1.09099206518698	0.281126906021375	0.999993131445251	-4.58728238313823
ENSG00000235527.7	-0.302064689857617	-2.05685871287101	-1.0909832485471	0.281130743315668	0.999993131445251	-4.58827198752449
ENSG00000164707.16	-0.312321341275899	0.660153511484648	-1.09093481158626	0.281151825344262	0.999993131445251	-4.59201796362608
ENSG00000166432.16	0.213987572912398	3.20889539987275	1.09088912802568	0.281171709981025	0.999993131445251	-4.61874139653479
ENSG00000101333.19	-0.133319857923337	2.76542242069628	-1.09088701064468	0.281172631635221	0.999993131445251	-4.61555031004426
ENSG00000106536.21	-0.163556683077993	2.32057713948462	-1.09077367860546	0.281221965930663	0.999993131445251	-4.610867417186
ENSG00000250140.1	-0.473753276641773	-2.8378781338408	-1.09073312931362	0.281239618820004	0.999993131445251	-4.58919224560809
ENSG00000100813.15	0.109087572804839	4.73290273896378	1.09051108389479	0.281336298739062	0.999993131445251	-4.61925472005634
ENSG00000290574.1	-0.390252436008786	-2.07048061834475	-1.0904003102222	0.281384538983956	0.999993131445251	-4.58835378765505
ENSG00000125388.20	-0.104393284171998	2.16903434206008	-1.09033208510686	0.281414252868838	0.999993131445251	-4.60920944837102
ENSG00000156531.18	-0.109594022986116	3.36036339206199	-1.09021925145698	0.281463399809149	0.999993131445251	-4.61973733551081
ENSG00000118579.13	-0.0643814095909727	4.73356995217228	-1.09017155115959	0.28148417843315	0.999993131445251	-4.61940771224716
ENSG00000135090.14	0.0850026392838514	3.7039925829413	1.09014937270106	0.281493839910275	0.999993131445251	-4.62062599437063
ENSG00000180776.17	-0.184206832463451	4.71098531428383	-1.09012800480895	0.281503148504952	0.999993131445251	-4.61949496803399
ENSG00000226465.5	0.336948105593852	-1.84657906376126	1.09005702536097	0.281534071163557	0.999993131445251	-4.58812125553167
ENSG00000106261.17	0.0918520696371221	5.44812257490459	1.0898808801137	0.281610820281275	0.999993131445251	-4.61683248935061
ENSG00000236519.2	-0.405856636506648	-2.13560276296909	-1.08974285502463	0.281670970131065	0.999993131445251	-4.58850560293127
ENSG00000287578.1	0.186755770655526	-0.259362327160394	1.0896937596411	0.281692367543958	0.999993131445251	-4.58810896979619
ENSG00000259052.1	-0.176814079024898	0.154524475826031	-1.08965999371596	0.28170708452702	0.999993131445251	-4.58942494856206
ENSG00000280870.3	0.294656827066793	-1.22434289406633	1.08962074411811	0.281724192263592	0.999993131445251	-4.58759941300589
ENSG00000127952.17	0.170944342943212	1.23516425711071	1.08954750233318	0.281756118135735	0.999993131445251	-4.5978173045008
ENSG00000255247.1	-0.400446535055968	-2.30912004176813	-1.08950084329348	0.281776457992894	0.999993131445251	-4.5887384141842
ENSG00000224671.2	-0.274019156294526	-1.18208251407001	-1.08949163658712	0.281780471551021	0.999993131445251	-4.58759607529742
ENSG00000169926.11	-0.0948191213923675	4.86578998191911	-1.08949051098897	0.281780962245387	0.999993131445251	-4.61929019815617
ENSG00000188130.14	0.172502743203683	2.0321049894605	1.08938905691714	0.281825192694652	0.999993131445251	-4.60784927158585
ENSG00000197782.15	-0.104537568193471	2.53536085236542	-1.08933939625534	0.281846844792134	0.999993131445251	-4.61392588311076
ENSG00000171606.18	0.158968053789903	1.3674870384742	1.08910366405829	0.281949640174483	0.999993131445251	-4.59949167241115
ENSG00000258624.1	-0.357324590463596	-2.84480001849895	-1.08908059292922	0.281959702179075	0.999993131445251	-4.58934538208748
ENSG00000242973.6	-0.343713337079466	-2.17787803533003	-1.08901991678284	0.281986166050488	0.999993131445251	-4.5886341245002
ENSG00000248469.1	0.358955265285672	-0.742194357622927	1.08888603068376	0.282044566568287	0.999993131445251	-4.58767044992129
ENSG00000168795.5	-0.112120178401338	1.87318658202013	-1.08886404644377	0.282054156806018	0.999993131445251	-4.60599263986019
ENSG00000235397.1	-0.172238398823704	0.359306522077419	-1.08880112707131	0.282081605538368	0.999993131445251	-4.59065508945294
ENSG00000280047.1	-0.191409074647749	-0.0930426661487438	-1.08875639750446	0.282101120061866	0.999993131445251	-4.58873891842549
